Transaction Name,Acquired Company Name,Acquiring Company Name,Announced On Date,Price
Winnebago Industries acquires Grand Design RV,Grand Design RV,Winnebago Industries,10/03/2016,"$500,000,000"
Tamedia acquires Forum Executive,Forum Executive,Tamedia,10/01/2016,
Pet Anjo acquires PetHub.com.br,PetHub.com.br,Pet Anjo,09/20/2016,
Samsung Electronics acquires Viv,Viv,Samsung Electronics,10/05/2016,
Ubisoft acquires Ketchapp,Ketchapp,Ubisoft,09/27/2016,
Orient Hontai Capital acquires AppLovin,AppLovin,Orient Hontai Capital,09/26/2016,"$1,400,000,000"
Shavekit acquires Close Shave Society,Close Shave Society,Shavekit,09/22/2016,
Supercell acquires Frogmind,Frogmind,Supercell,09/21/2016,"$7,800,000"
Welcome Italia acquires Qboxmail,Qboxmail,Welcome Italia,09/21/2016,
Rakuten acquires Fablic,Fablic,Rakuten,09/05/2016,
Bellrock Property & Facilities Management acquires RBK Mechanical,RBK Mechanical,Bellrock Property & Facilities Management,09/16/2016,
Altair Engineering acquires Solid Iris Technologies,Solid Iris Technologies,Altair Engineering,09/14/2016,
Katalyst Partners (KPI) acquires Donor Point Marketing,Donor Point Marketing,Katalyst Partners (KPI),09/01/2016,
Ant Financial acquires EyeVerify,EyeVerify,Ant Financial,09/13/2016,
Hansa Cequity acquires InLoyal,InLoyal,Hansa Cequity,09/01/2016,
FullContact acquires Profoundis Labs,Profoundis Labs,FullContact,08/23/2016,
Altavia acquires Rokivo,Rokivo,Altavia,09/06/2016,
SAP acquires Altiscale,Altiscale,SAP,08/25/2016,"$125,000,000"
MAX - Metro Africa Express acquires Easy Appetite,Easy Appetite,MAX - Metro Africa Express,09/29/2016,
Xeeva acquires Kontextual,Kontextual,Xeeva,12/11/2014,
Instamek acquires WrenchPatrol,WrenchPatrol,Instamek,08/31/2016,
AdCityMedia acquires All In Media Sweden,All In Media Sweden,AdCityMedia,08/31/2016,"kr7,500,000"
Fantasy 6 Sports acquires FansUnite,FansUnite,Fantasy 6 Sports,09/08/2016,"$2,000,000"
KPN acquires Beep!,Beep!,KPN,10/26/2005,
TerraPay acquires Pay2Global,Pay2Global,TerraPay,08/29/2016,
InfoVista acquires Ascom Network Testing,Ascom Network Testing,InfoVista,08/22/2016,"$45,000,000"
Airbnb acquires Trip4real,Trip4real,Airbnb,09/19/2016,
Cirrus Logic acquires ShareWave,ShareWave,Cirrus Logic,07/19/2001,"$92,000,000"
Ingenuity acquires County Apps,County Apps,Ingenuity,09/16/2016,
Canon acquires Lifecake,Lifecake,Canon,04/23/2015,
Enterprise Investors acquires Intersport ISI,Intersport ISI,Enterprise Investors,09/14/2016,"€34,500,000"
Glispa Global Group acquires avocarrot,avocarrot,Glispa Global Group,09/13/2016,"$20,000,000"
Quad Analytix acquires Wiser,Wiser,Quad Analytix,09/11/2016,
Future Publishing acquires NextCommerce,NextCommerce,Future Publishing,08/16/2016,
Sailing Capital acquires Astrum Education,Astrum Education,Sailing Capital,09/18/2016,
"Alimentation Couche-Tard, Inc. acquires CST Brands",CST Brands,"Alimentation Couche-Tard, Inc.",08/22/2016,"$4,400,000,000"
Altavia acquires Stylum,Stylum,Altavia,09/05/2016,
