Transaction Name,Acquired Company Name,Acquiring Company Name,Announced On Date,Price
Renault-Nissan Alliance acquires Sylpheo,Sylpheo,Renault-Nissan Alliance,09/20/2016,
Avaap acquires Falcon Consulting Group,Falcon Consulting Group,Avaap,10/04/2016,
CashFlows acquires iCheque Network Ltd.,iCheque Network Ltd.,CashFlows,09/16/2016,
Keg Logistics acquires Atlas Keg Co,Atlas Keg Co,Keg Logistics,10/05/2016,
Nokia acquires Etadevices,Etadevices,Nokia,10/05/2016,
SportsEngine acquires RallyMe,RallyMe,SportsEngine,09/27/2016,
Vaaka Partners acquires LTP Logistics,LTP Logistics,Vaaka Partners,09/26/2016,
Dentsu Aegis Network acquires WiTH Collective,WiTH Collective,Dentsu Aegis Network,09/16/2016,
Learning Pool acquires Mind Click,Mind Click,Learning Pool,09/01/2016,
Dentsu Aegis Network acquires Accordant Media,Accordant Media,Dentsu Aegis Network,09/01/2016,
OneDigital acquires The Fahrenheit Group,The Fahrenheit Group,OneDigital,09/12/2016,
NGD Studios acquires Red Katana,Red Katana,NGD Studios,10/06/2016,
Vente-privee.com acquires Designers & Friends,Designers & Friends,Vente-privee.com,09/05/2016,
Salesforce acquires Krux,Krux,Salesforce,10/03/2016,"$700,000,000"
Nasmedia acquires N Search Marketing,N Search Marketing,Nasmedia,09/26/2016,
Z Capital Group acquires Affinity Gaming,Affinity Gaming,Z Capital Group,08/23/2016,"$580,000,000"
Tele2 acquires Kombridge,Kombridge,Tele2,08/23/2016,
Skyscanner acquires Youbibi,Youbibi,Skyscanner,06/25/2014,
Accenture acquires Redcore,Redcore,Accenture,08/22/2016,
Direct Eats acquires Wholeshare,Wholeshare,Direct Eats,08/29/2016,
Metromile acquires Mosaic Insurance Alliance,Mosaic Insurance Alliance,Metromile,09/21/2016,
Twilio acquires Kurento,Kurento,Twilio,09/20/2016,
Dataware acquires Yostro,Yostro,Dataware,04/01/2011,
BD Group acquires Agilys,Agilys,BD Group,01/14/2014,
Zimmer Biomet Holdings acquires Clinical Graphics,Clinical Graphics,Zimmer Biomet Holdings,09/15/2016,
Microsystems acquires XRef software solutions Ltd,XRef software solutions Ltd,Microsystems,09/15/2016,
Amdocs acquires Brite:Bill,Brite:Bill,Amdocs,09/14/2016,
"eBay acquires Ticket Utils, Inc.","Ticket Utils, Inc.",eBay,07/14/2016,
The Carlyle Group acquires exocad GmbH,exocad GmbH,The Carlyle Group,09/13/2016,
Verizon Communications acquires Sensity Systems,Sensity Systems,Verizon Communications,09/12/2016,
Concur Technologies acquires Hipmunk,Hipmunk,Concur Technologies,09/13/2016,
Chatur Ideas acquires Nurture Talent Academy,Nurture Talent Academy,Chatur Ideas,09/09/2016,
StemCells acquires Microbot Medical,Microbot Medical,StemCells,08/22/2016,
gamigo acquires HoneyTracks,HoneyTracks,gamigo,08/24/2016,
Meredith Corporation acquires Shopnation,Shopnation,Meredith Corporation,05/01/2012,
B2W Digital acquires SIEVE,SIEVE,B2W Digital,06/24/2015,"$42,000,000"
GoDaddy acquires ManageWP,ManageWP,GoDaddy,09/06/2016,
