Transaction Name,Acquired Company Name,Acquiring Company Name,Announced On Date,Price
Endurance International acquires AppMachine,AppMachine,Endurance International,07/31/2016,"$37,700,000"
Sapix Yozemi acquires Best Teacher,Best Teacher,Sapix Yozemi,08/02/2016,
Cox Automotive acquires CarsGuide.com.au,CarsGuide.com.au,Cox Automotive,08/10/2016,
Tenth and Blake Beer Company acquires Revolver Brewing,Revolver Brewing,Tenth and Blake Beer Company,08/11/2016,
"True Link Financial acquires Next Step Network, LLC","Next Step Network, LLC",True Link Financial,08/04/2016,
Tablelist Inc acquires Nightpro,Nightpro,Tablelist Inc,06/13/2016,
Simply Measured acquires DataRank,DataRank,Simply Measured,10/13/2015,
British Telecom Group (BT Group) acquires EE,EE,British Telecom Group (BT Group),02/05/2015,"£12,500,000,000"
Velocity acquires Cover,Cover,Velocity,09/22/2015,
Blue Coat acquires Elastica,Elastica,Blue Coat,11/07/2015,"$280,000,000"
Rafter acquires HubEdu,HubEdu,Rafter,06/27/2012,
Yahoo! acquires MessageMe,MessageMe,Yahoo!,10/03/2014,"$30,000,000"
Seedling acquires PS XO,PS XO,Seedling,10/29/2014,
Telefónica Digital acquires Saluspot,Saluspot,Telefónica Digital,02/21/2014,
Microsoft acquires Adallom,Adallom,Microsoft,07/19/2015,"$320,000,000"
"Grid Dynamics acquires Tonomi, Inc.","Tonomi, Inc.",Grid Dynamics,08/17/2015,
Elizabeth Arden Red Door Spa acquires Manicube,Manicube,Elizabeth Arden Red Door Spa,11/26/2015,
"Jam City acquires Kiwi, Inc.","Kiwi, Inc.",Jam City,12/09/2015,
Microsoft acquires Metanautix,Metanautix,Microsoft,12/18/2015,
Ciright One acquires Stratos,Stratos,Ciright One,12/22/2015,
Sparta Systems acquires 123Compliance,123Compliance,Sparta Systems,01/20/2016,
Iris Worldwide acquires Founded,Founded,Iris Worldwide,04/19/2016,
The Hershey Company acquires Ripple Brand Collective,Ripple Brand Collective,The Hershey Company,04/26/2016,
Microsoft acquires FantasySalesTeam,FantasySalesTeam,Microsoft,08/03/2015,
Opus Bank acquires PENSCO,PENSCO,Opus Bank,04/14/2016,"$46,400,000"
Tagboard acquires ZIIBRA,ZIIBRA,Tagboard,05/31/2016,
Partners Group acquires PCI Pharma Services,PCI Pharma Services,Partners Group,06/01/2016,
Nokia acquires Gainspeed,Gainspeed,Nokia,06/09/2016,
Workday acquires Zaption,Zaption,Workday,06/30/2016,
Central Jersey Waste and Recycling acquires Bridge Disposal,Bridge Disposal,Central Jersey Waste and Recycling,07/05/2016,
Grady Health System acquires Synaptive Medical,Synaptive Medical,Grady Health System,07/07/2016,
Seamless Distribution acquires MeaWallet,MeaWallet,Seamless Distribution,07/13/2016,"kr42,800,000"
Mobvista acquires GameAnalytics,GameAnalytics,Mobvista,07/14/2016,
Workday acquires Platfora,Platfora,Workday,07/21/2016,
Teradata acquires Big Data Partnership,Big Data Partnership,Teradata,07/25/2016,
Myntra acquires Jabong.com,Jabong.com,Myntra,07/26/2016,"$70,000,000"
Intelligent Apps (mytaxi) acquires Hailo,Hailo,Intelligent Apps (mytaxi),07/26/2016,
Salesforce acquires Quip,Quip,Salesforce,08/01/2016,"$750,000,000"
PK4 Media acquires Jsfour Enterprises,Jsfour Enterprises,PK4 Media,12/01/2012,
Fab acquires LLUSTRE,LLUSTRE,Fab,06/19/2012,
TaskRabbit acquires One Jackson,One Jackson,TaskRabbit,11/14/2012,
Dropbox acquires Mailbox,Mailbox,Dropbox,03/15/2013,"$100,000,000"
Bandzoogle acquires Onesheet,Onesheet,Bandzoogle,07/09/2013,
HomeAway acquires travelmob,travelmob,HomeAway,07/17/2013,
Baidu acquires TrustGo,TrustGo,Baidu,02/13/2013,"$30,000,000"
Salesforce acquires Prior Knowledge,Prior Knowledge,Salesforce,11/23/2012,
Delticom AG acquires Tirendo,Tirendo,Delticom AG,09/16/2013,"€50,000,000"
StudentUniverse acquires WeHostels,WeHostels,StudentUniverse,11/15/2013,
zanox acquires Metrigo,Metrigo,zanox,11/24/2013,
Google acquires Schaft,Schaft,Google,12/02/2013,"$20,000,000"
AdRoll acquires userfox,userfox,AdRoll,01/23/2014,
Imperva acquires SkyFence,SkyFence,Imperva,02/07/2014,"$60,000,000"
Excursiopedia acquires Travelatus,Travelatus,Excursiopedia,12/13/2013,"$100,000"
Canyon Technical Services acquires Fraction Energy Services,Fraction Energy Services,Canyon Technical Services,06/19/2014,"$101,700,000"
LumenData acquires Algorithms.io,Algorithms.io,LumenData,12/10/2013,
Connectv.com acquires tweetTV,tweetTV,Connectv.com,06/30/2014,
Twitter acquires TapCommerce,TapCommerce,Twitter,06/30/2014,"$100,000,000"
Microsoft acquires SyntaxTree,SyntaxTree,Microsoft,07/03/2014,
Groupon acquires SnapSaves,SnapSaves,Groupon,07/02/2014,
Yahoo! acquires ClarityRay,ClarityRay,Yahoo!,08/15/2014,
Applause acquires testhub,testhub,Applause,05/05/2014,
Sysnet Global Solutions acquires SaaS Markets,SaaS Markets,Sysnet Global Solutions,03/11/2014,
AppLovin acquires moboqo,moboqo,AppLovin,10/09/2014,
PCCW acquires Crypteia Networks,Crypteia Networks,PCCW,10/21/2014,
LX Ventures acquires Weeve,Weeve,LX Ventures,02/14/2013,
AppMakr acquires Appifier,Appifier,AppMakr,11/06/2014,
Mail.Ru Group acquires maps.me,maps.me,Mail.Ru Group,11/13/2014,
Kik acquires Relay,Relay,Kik,11/19/2014,
DeNA acquires peroli,peroli,DeNA,10/01/2014,
Hem acquires Discipline.eu,Discipline.eu,Hem,02/03/2015,
EKF diagnostics acquires Selah Genomics,Selah Genomics,EKF diagnostics,03/20/2014,
James Allen acquires Segoma,Segoma,James Allen,02/09/2015,"$18,000,000"
Ola acquires TaxiForSure.com,TaxiForSure.com,Ola,03/02/2015,"$200,000,000"
Gene by Gene Ltd. acquires Arpeggi Inc,Arpeggi Inc,Gene by Gene Ltd.,07/13/2013,
Cision acquires Viralheat,Viralheat,Cision,03/24/2015,
The H.J. Heinz Company acquires Kraft Foods,Kraft Foods,The H.J. Heinz Company,03/25/2015,
Google acquires Timeful,Timeful,Google,05/04/2015,
6D Global Technologies acquires Storycode,Storycode,6D Global Technologies,03/10/2015,
Jive Communications acquires Speek,Speek,Jive Communications,06/25/2015,
Helpling acquires Hassle.com,Hassle.com,Helpling,07/03/2015,"€32,000,000"
"MakeMusic, Inc. acquires Weezic",Weezic,"MakeMusic, Inc.",07/09/2015,
Viber acquires Nextpeer,Nextpeer,Viber,07/28/2015,"$9,000,000"
Stride Gaming acquires InfiApps,InfiApps,Stride Gaming,07/31/2015,"$39,200,000"
Usersnap acquires Redline,Redline,Usersnap,04/30/2015,
Hackaday acquires Tindie,Tindie,Hackaday,08/06/2015,
LVMH acquires Luxola,Luxola,LVMH,07/08/2015,
gShift acquires SiteCondor,SiteCondor,gShift,08/26/2015,
Novo Nordisk acquires Calibrium,Calibrium,Novo Nordisk,08/27/2015,
Simply Measured acquires Inside Social,Inside Social,Simply Measured,09/01/2015,
Novomatic acquires PlayNation,PlayNation,Novomatic,09/24/2015,
Teva Pharmaceutical Industries acquires Gecko Health Innovations Inc. (formerly GeckoCap),Gecko Health Innovations Inc. (formerly GeckoCap),Teva Pharmaceutical Industries,09/25/2015,
uberall acquires Spotistic,Spotistic,uberall,10/08/2015,
HealthMarkets acquires Benefitter,Benefitter,HealthMarkets,08/01/2015,
Cengage Learning acquires Pathbrite,Pathbrite,Cengage Learning,10/27/2015,
Microsoft acquires Mobile Data Labs,Mobile Data Labs,Microsoft,11/05/2015,
Google acquires Fly Labs,Fly Labs,Google,11/06/2015,
Abcam acquires AxioMx,AxioMx,Abcam,11/11/2015,"$45,000,000"
Eye-Fi acquires OKDOTHIS,OKDOTHIS,Eye-Fi,11/12/2015,
Fossil acquires Misfit Wearables,Misfit Wearables,Fossil,11/12/2015,"$260,000,000"
Jasim Al Ali Group acquires Nail the Deal,Nail the Deal,Jasim Al Ali Group,11/18/2015,
Google acquires Bebop,Bebop,Google,11/19/2015,"$380,200,000"
CradlePoint Technology acquires Pertino,Pertino,CradlePoint Technology,12/08/2015,
Sinclair Broadcast Group acquires Circa,Circa,Sinclair Broadcast Group,12/09/2015,
Microsoft acquires Talko,Talko,Microsoft,12/21/2015,
Cloudability acquires Datahero,Datahero,Cloudability,01/06/2016,
Apple acquires Emotient,Emotient,Apple,01/07/2016,
WhiteClouds acquires 3dplusme,3dplusme,WhiteClouds,01/10/2016,
PaidEasy acquires SmartLine,SmartLine,PaidEasy,01/26/2016,
GSN acquires Plumbee,Plumbee,GSN,02/15/2016,
IBM acquires Truven Health Analytics,Truven Health Analytics,IBM,02/18/2016,"$2,600,000,000"
Sprinklr acquires postano.com,postano.com,Sprinklr,02/20/2016,
HarperCollins Italia acquires 20lines,20lines,HarperCollins Italia,02/22/2016,
Freshdesk acquires Framebench,Framebench,Freshdesk,02/22/2016,
Ackroo Canada acquires OnTab,OnTab,Ackroo Canada,02/23/2016,
Deem acquires Whisk,Whisk,Deem,02/24/2016,
GoPro acquires Vemory,Vemory,GoPro,02/29/2016,
XLMedia acquires Marmar Media Ltd,Marmar Media Ltd,XLMedia,07/01/2015,
Code Rebel acquires Aegis Identity Software,Aegis Identity Software,Code Rebel,03/11/2016,
Mars Petcare acquires Whistle,Whistle,Mars Petcare,04/01/2016,"$119,000,000"
Sunquest Information Systems acquires GeneInsight,GeneInsight,Sunquest Information Systems,04/04/2016,
refund.me acquires Travel Notes,Travel Notes,refund.me,04/05/2016,
SwervePay acquires Statpay,Statpay,SwervePay,04/05/2016,
Duff & Phelps acquires Tregin Solutions,Tregin Solutions,Duff & Phelps,04/05/2016,
Samara Capital acquires Adcock Ingram Healthcare,Adcock Ingram Healthcare,Samara Capital,04/07/2016,
CoMotion On King acquires CoMotion 302,CoMotion 302,CoMotion On King,04/07/2016,
Freshdesk acquires Airwoot,Airwoot,Freshdesk,04/13/2016,
Graduateland acquires Tyba,Tyba,Graduateland,04/19/2016,
"Wicresoft Co., Ltd. acquires Vibrant Fusion",Vibrant Fusion,"Wicresoft Co., Ltd.",04/15/2016,
Spotify acquires CrowdAlbum,CrowdAlbum,Spotify,04/27/2016,
"AdSupply.Com acquires Adaptive Medias, Inc.","Adaptive Medias, Inc.",AdSupply.Com,02/01/2016,"$35,000,000"
RoundTable Healthcare Partners acquires Symmetry Surgical,Symmetry Surgical,RoundTable Healthcare Partners,05/02/2016,"$140,300,000"
miroculus acquires Kapplex,Kapplex,miroculus,05/03/2016,
Posterscope acquires Liveposter,Liveposter,Posterscope,05/03/2016,
Microsoft acquires Sunrise Atelier,Sunrise Atelier,Microsoft,02/11/2015,"$100,000,000"
ISEG Limited acquires Startup Stock Exchange,Startup Stock Exchange,ISEG Limited,05/06/2016,
Odd Networks acquires Overdog,Overdog,Odd Networks,05/09/2016,
Accenture acquires OPS Rules Management Consultants,OPS Rules Management Consultants,Accenture,05/09/2016,
Google acquires Industrial Pereception Inc.,Industrial Pereception Inc.,Google,12/04/2013,
Sandpiper Digital Payments acquires GoGORILLA,GoGORILLA,Sandpiper Digital Payments,05/10/2016,
Byte Foods acquires Pantry,Pantry,Byte Foods,05/12/2016,
Inteliquent acquires Better Voice,Better Voice,Inteliquent,05/18/2016,
ITV acquires Cirkus Ltd.,Cirkus Ltd.,ITV,05/17/2016,
Sovendus acquires RMD Regional Marketing Germany GmbH,RMD Regional Marketing Germany GmbH,Sovendus,05/19/2016,
BioStem Technologies acquires TEN Health,TEN Health,BioStem Technologies,05/25/2016,
FarmLink Marketing Solutions acquires Farm At Hand,Farm At Hand,FarmLink Marketing Solutions,11/17/2015,
eFolder acquires Replibit,Replibit,eFolder,06/01/2016,
Zynga acquires Team Chaos LLC,Team Chaos LLC,Zynga,06/02/2016,
Crozier Fine Arts acquires Fairfield Fine Art,Fairfield Fine Art,Crozier Fine Arts,06/03/2016,
LERETA acquires American Property Guard,American Property Guard,LERETA,06/07/2016,
MercadoLibre acquires AXADO,AXADO,MercadoLibre,06/10/2016,"$7,600,000"
Rise Art acquires Artfetch,Artfetch,Rise Art,06/13/2016,
O2 Media acquires Inbox Fitness,Inbox Fitness,O2 Media,12/03/2014,
The Advisory Board Company acquires Zeumo,Zeumo,The Advisory Board Company,07/27/2015,
Marathon Oil Corporation acquires PayRock Energy,PayRock Energy,Marathon Oil Corporation,06/20/2016,"$888,000,000"
Verve acquires ROXIMITY,ROXIMITY,Verve,06/21/2016,
Stikeleather acquires White Plum,White Plum,Stikeleather,06/22/2016,
Pieology Pizzeria acquires Project Pie,Project Pie,Pieology Pizzeria,06/22/2016,
Caffè Nero acquires Harris + Hoole,Harris + Hoole,Caffè Nero,06/23/2016,
Travelling Connect acquires DealBroker BV,DealBroker BV,Travelling Connect,06/27/2016,
NP6 SAS acquires Ezakus,Ezakus,NP6 SAS,07/02/2016,
HelloAsso acquires Cours avenue,Cours avenue,HelloAsso,07/05/2016,
gamigo acquires highdigit GmbH,highdigit GmbH,gamigo,07/05/2016,
Myntra acquires Cubeit,Cubeit,Myntra,07/12/2016,
DOAR acquires Expert Search Group,Expert Search Group,DOAR,07/12/2016,
Sartorius acquires ViroCyt,ViroCyt,Sartorius,07/15/2016,"$16,000,000"
Worley Claims Services acquires Nexxus Solutions Group,Nexxus Solutions Group,Worley Claims Services,08/04/2016,
BJC Branding acquires SouthDirekt,SouthDirekt,BJC Branding,08/05/2016,
Deloitte Australia acquires The Explainers,The Explainers,Deloitte Australia,08/08/2016,
Kibo Software acquires Fiverun,Fiverun,Kibo Software,01/14/2016,
Atrinsic acquires Shopit,Shopit,Atrinsic,08/07/2009,
Electronic Arts acquires PlayNation,PlayNation,Electronic Arts,09/08/1999,
Microsoft acquires One Tree Software Ltd,One Tree Software Ltd,Microsoft,11/15/1994,
JP Selects acquires LovingEco,LovingEco,JP Selects,05/01/2012,"$1,000,000"
3D Eye Solutions acquires nxdesk,nxdesk,3D Eye Solutions,06/22/2012,
Flurry acquires Trestle,Trestle,Flurry,07/25/2012,
LivePerson acquires Look.io,Look.io,LivePerson,06/12/2012,
Dominion Business Solutions acquires EigenX,EigenX,Dominion Business Solutions,09/11/2012,
EarlyShares acquires HelpersUnite,HelpersUnite,EarlyShares,09/12/2012,
SOASTA acquires LogNormal,LogNormal,SOASTA,09/26/2012,
HotelTonight acquires PrimaTable,PrimaTable,HotelTonight,10/03/2012,
500px acquires Pulpfingers,Pulpfingers,500px,11/21/2012,
Google acquires BufferBox,BufferBox,Google,11/30/2012,
Yahoo! acquires ONtheAIR,ONtheAIR,Yahoo!,12/05/2012,
Dyn acquires Verelo,Verelo,Dyn,01/02/2013,
Aruba Networks acquires Plursona,Plursona,Aruba Networks,05/23/2012,
JustFab acquires Fabkids,Fabkids,JustFab,01/18/2013,
GodHive acquires ChristianProfiles.net,ChristianProfiles.net,GodHive,01/25/2013,"$2,500"
Sidecar Technologies acquires Heyride,Heyride,Sidecar Technologies,02/14/2013,
Avanade acquires Opstera,Opstera,Avanade,02/08/2013,
Practice Fusion acquires 100Plus,100Plus,Practice Fusion,02/27/2013,
Microsoft acquires MetricsHub,MetricsHub,Microsoft,03/04/2013,
Azia Corporation acquires AXXESS Unlimited,AXXESS Unlimited,Azia Corporation,03/05/2013,
Facebook acquires Storylane,Storylane,Facebook,03/08/2013,
Yahoo! acquires Summly,Summly,Yahoo!,03/25/2013,"$30,000,000"
TripAdvisor acquires Tiny Post,Tiny Post,TripAdvisor,03/22/2013,
BuzzFeed acquires Kingfish Labs,Kingfish Labs,BuzzFeed,09/11/2012,
ZeroTurnaround acquires Javeleon,Javeleon,ZeroTurnaround,03/19/2013,
Rumblefish acquires Catalogik,Catalogik,Rumblefish,03/21/2013,
Follett Corporation acquires BetterKnow,BetterKnow,Follett Corporation,04/08/2013,
PayPal acquires IronPearl,IronPearl,PayPal,04/13/2013,
Rogers Communications Inc. acquires BLACKIRON Data,BLACKIRON Data,Rogers Communications Inc.,04/17/2013,
Pearson acquires Learning Catalytics,Learning Catalytics,Pearson,04/22/2013,
Facebook acquires Parse,Parse,Facebook,04/25/2013,"$90,000,000"
Dyn acquires Trendslide,Trendslide,Dyn,05/13/2013,
Floorplanner acquires Mydeco3D,Mydeco3D,Floorplanner,05/16/2013,
Sprint acquires OneLouder,OneLouder,Sprint,05/20/2013,
Bandsintown Group acquires ToneMedia,ToneMedia,Bandsintown Group,06/03/2013,
ActiveState acquires Appsecute,Appsecute,ActiveState,06/03/2013,
delivery.com acquires Brinkmat,Brinkmat,delivery.com,06/04/2013,
PlayHaven acquires //Staq.io,//Staq.io,PlayHaven,06/05/2013,
Plum District acquires Spotivate,Spotivate,Plum District,06/14/2013,
OpenTable acquires JustChalo,JustChalo,OpenTable,06/14/2013,"$11,000,000"
AdStage acquires Semply,Semply,AdStage,06/21/2013,
Lixil Group Corporation acquires ASDAmerica,ASDAmerica,Lixil Group Corporation,06/28/2013,"$542,000,000"
Quarterly acquires 12Society,12Society,Quarterly,07/03/2013,
Automattic acquires Lean Domain Search,Lean Domain Search,Automattic,07/15/2013,
Cloudera acquires Myrrix,Myrrix,Cloudera,07/16/2013,
Yahoo! acquires Admovate,Admovate,Yahoo!,07/17/2013,
Google acquires Behavio,Behavio,Google,04/18/2013,
OneTwoTrip acquires DealAngel,DealAngel,OneTwoTrip,08/06/2013,
One97 Communications acquires Plustxt,Plustxt,One97 Communications,08/08/2013,"$2,000,000"
Intuit acquires GoodApril,GoodApril,Intuit,08/08/2013,
Demme Learning acquires KinderTown,KinderTown,Demme Learning,08/15/2013,
Copper.io acquires CloudVertical,CloudVertical,Copper.io,07/01/2013,
Palantir Technologies acquires Voicegem,Voicegem,Palantir Technologies,02/16/2013,
Amobee acquires Gradient X,Gradient X,Amobee,09/05/2013,
Foodpanda acquires Janamesa,Janamesa,Foodpanda,08/01/2013,
Groupon acquires Blink Booking,Blink Booking,Groupon,09/09/2013,
Project Partners acquires serVelocity,serVelocity,Project Partners,09/16/2013,
Tech in Asia acquires Gamesaku,Gamesaku,Tech in Asia,09/12/2013,
Hightail acquires Adept Cloud,Adept Cloud,Hightail,09/17/2013,
Groupon acquires SideTour,SideTour,Groupon,09/18/2013,
Hot Hotels acquires ReallyLateBooking,ReallyLateBooking,Hot Hotels,09/18/2013,
AppDynamics acquires Nodetime,Nodetime,AppDynamics,09/19/2013,
StumbleUpon acquires 5by,5by,StumbleUpon,09/24/2013,
eBay acquires Bureau Of Trade,Bureau Of Trade,eBay,09/27/2013,
Walmart acquires Reclip.It,Reclip.It,Walmart,04/01/2013,
Certain acquires Check In Easy,Check In Easy,Certain,10/02/2013,
La Nevera Roja.com acquires Entuboca.com,Entuboca.com,La Nevera Roja.com,09/21/2013,
Tailwind acquires PinReach,PinReach,Tailwind,10/17/2013,
"Boku, Inc. acquires Qubecell",Qubecell,"Boku, Inc.",11/21/2013,
Box acquires dLoop,dLoop,Box,11/27/2013,
Intel acquires Hacker League,Hacker League,Intel,11/20/2013,
Square acquires Viewfinder,Viewfinder,Square,12/03/2013,
Yahoo! acquires EvntLive,EvntLive,Yahoo!,12/06/2013,
LifeLock acquires Lemon,Lemon,LifeLock,12/12/2013,"$42,600,000"
Zola Books acquires Bookish,Bookish,Zola Books,01/06/2014,
Palo Alto Networks acquires Morta Security,Morta Security,Palo Alto Networks,01/06/2014,
Yahoo! acquires Aviate,Aviate,Yahoo!,01/07/2014,"$80,000,000"
GitHub acquires Easel,Easel,GitHub,01/09/2014,
HireVue acquires Reschedge,Reschedge,HireVue,01/09/2014,
Facebook acquires Branch,Branch,Facebook,01/13/2014,"$15,000,000"
BeMyGuest acquires indiescapes.com,indiescapes.com,BeMyGuest,12/06/2013,
Secret Escapes acquires JustBook,JustBook,Secret Escapes,01/15/2014,
Millennial Media acquires Metaresolver,Metaresolver,Millennial Media,02/21/2013,
Pinsight Media+ acquires OneLouder,OneLouder,Pinsight Media+,04/01/2013,
PCH International acquires ShopLocket,ShopLocket,PCH International,01/24/2014,
Yahoo! acquires Cloud Party,Cloud Party,Yahoo!,01/24/2014,
LiveOps acquires UserEvents,UserEvents,LiveOps,01/27/2014,
"Viggle, Inc. acquires Dijit Media",Dijit Media,"Viggle, Inc.",01/29/2014,
The Daily Dot acquires The Kernel,The Kernel,The Daily Dot,01/29/2014,
CallidusCloud / Callidus Software acquires LeadRocket,LeadRocket,CallidusCloud / Callidus Software,02/06/2014,
Fabkids acquires Wittlebee,Wittlebee,Fabkids,11/01/2013,
Palo Alto Networks acquires Cyvera,Cyvera,Palo Alto Networks,03/24/2014,"$200,000,000"
MyFitnessPal acquires Sessions,Sessions,MyFitnessPal,02/19/2014,
All in One Medical acquires Fantex UK,Fantex UK,All in One Medical,02/25/2014,
Luvo (formerly Flashnotes) acquires Moolaguides,Moolaguides,Luvo (formerly Flashnotes),03/04/2014,
Yahoo! acquires Vizify,Vizify,Yahoo!,03/05/2014,
priceline.com acquires Qlika,Qlika,priceline.com,03/11/2014,
Dropbox acquires Zulip,Zulip,Dropbox,03/17/2014,
Lotame acquires AdMobius,AdMobius,Lotame,03/18/2014,
Yandex acquires KitLocate,KitLocate,Yandex,03/18/2014,
Excursiopedia acquires RangeUP,RangeUP,Excursiopedia,09/01/2013,
Twitter acquires SecondSync,SecondSync,Twitter,03/31/2014,
AwesomenessTV acquires Big Frame,Big Frame,AwesomenessTV,04/02/2014,"$15,000,000"
bookacoach acquires TRAINlete,TRAINlete,bookacoach,04/07/2014,
Fit Marketing acquires TOFU Marketing,TOFU Marketing,Fit Marketing,11/11/2013,
Her Campus Media acquires HerUni Media,HerUni Media,Her Campus Media,11/21/2013,
Google acquires Titan Aerospace,Titan Aerospace,Google,04/14/2014,
RuffaloCODY acquires ScaleFunder,ScaleFunder,RuffaloCODY,01/14/2014,
Dropbox acquires HackPad,HackPad,Dropbox,04/17/2014,
Facebook acquires ProtoGeo,ProtoGeo,Facebook,04/24/2014,
Etsy acquires Grand St.,Grand St.,Etsy,04/23/2014,
Extreme Reach acquires BrandAds,BrandAds,Extreme Reach,05/06/2014,
Intuit acquires Lettuce,Lettuce,Intuit,05/08/2014,"$30,000,000"
"InsideTrack acquires Logrado, Inc.","Logrado, Inc.",InsideTrack,04/21/2014,
Proofpoint acquires NetCitadel,NetCitadel,Proofpoint,05/20/2014,"$24,000,000"
Homejoy acquires GetMaid,GetMaid,Homejoy,05/22/2014,
Time Out Group acquires HUGECITY,HUGECITY,Time Out Group,05/07/2014,
Nokia acquires Desti,Desti,Nokia,05/30/2014,
Unitrends acquires Yuruware,Yuruware,Unitrends,06/02/2014,"$10,000,000"
ASW Systems acquires Spectu,Spectu,ASW Systems,06/04/2013,"$38,000"
Teva Pharmaceutical Industries acquires Labrys Biologics,Labrys Biologics,Teva Pharmaceutical Industries,06/03/2014,"$825,000,000"
Pegasystems acquires Firefly Software,Firefly Software,Pegasystems,06/09/2014,
Chegg acquires InstaEDU,InstaEDU,Chegg,06/03/2014,"$30,000,000"
Google acquires Alpental Technologies,Alpental Technologies,Google,06/19/2014,
GoDaddy acquires Canary Calendar,Canary Calendar,GoDaddy,07/10/2014,
"Health Insurance Innovations, acquires HealthPocket",HealthPocket,"Health Insurance Innovations,",07/15/2014,"$32,000,000"
Chef acquires Tower3,Tower3,Chef,07/15/2014,
Secret Escapes acquires MyCityVenue,MyCityVenue,Secret Escapes,07/24/2014,
Onevest acquires CoFoundersLab,CoFoundersLab,Onevest,07/17/2014,
Palantir Technologies acquires Poptip,Poptip,Palantir Technologies,07/29/2014,
Twitter acquires Mitro,Mitro,Twitter,07/31/2014,
Apple acquires Concept.io,Concept.io,Apple,07/28/2014,"$30,000,000"
Google acquires Directr,Directr,Google,08/01/2014,
Facebook acquires PrivateCore,PrivateCore,Facebook,08/07/2014,
Vobile acquires Blayze,Blayze,Vobile,03/06/2014,
Total Server Solutions acquires Front Range Hosting,Front Range Hosting,Total Server Solutions,11/12/2013,
INRIX acquires Centauris Solutions,Centauris Solutions,INRIX,09/19/2013,
Oncothyreon acquires Alpine Biosciences,Alpine Biosciences,Oncothyreon,08/11/2014,"$27,000,000"
Welltower Inc acquires HealthLease Properties REIT,HealthLease Properties REIT,Welltower Inc,08/13/2014,"$950,000,000"
CoreOS acquires quay.io,quay.io,CoreOS,08/13/2014,
Amris acquires Zao.com,Zao.com,Amris,08/24/2014,
Tastebuds acquires moosify,moosify,Tastebuds,08/26/2014,
Delivery Hero acquires 9Cookies,9Cookies,Delivery Hero,06/05/2014,
Quotient Technology acquires Eckim,Eckim,Quotient Technology,08/07/2014,
