Transaction Name,Acquired Company Name,Acquiring Company Name,Announced On Date,Price
Akamai Technologies acquires SOHA SYSTEMS,SOHA SYSTEMS,Akamai Technologies,10/04/2016,
CafeMedia acquires AdThrive,AdThrive,CafeMedia,09/29/2016,
McGraw-Hill Education acquires Redbird Advanced Learning,Redbird Advanced Learning,McGraw-Hill Education,09/30/2016,
Sky Tickets acquires Una Tickets,Una Tickets,Sky Tickets,09/23/2016,
Etsy acquires Blackbird Technologies,Blackbird Technologies,Etsy,09/19/2016,
Oracle Corporation acquires Palerra Inc.,Palerra Inc.,Oracle Corporation,09/18/2016,
Liquid Environmental Solutions acquires Carolinas Resource Recovery,Carolinas Resource Recovery,Liquid Environmental Solutions,10/03/2016,
The Ramey Agency acquires Adaptive Marketing Works,Adaptive Marketing Works,The Ramey Agency,09/12/2016,
QUADROtech acquires Cogmotive,Cogmotive,QUADROtech,09/27/2016,
Ezy Recruitment Solutions acquires Flo Software Solutions,Flo Software Solutions,Ezy Recruitment Solutions,09/26/2016,
Airware acquires Redbird,Redbird,Airware,09/22/2016,
iovation acquires LaunchKey,LaunchKey,iovation,09/06/2016,
Chicken Soup for the Soul acquires A Plus,A Plus,Chicken Soup for the Soul,09/21/2016,
iCandy Interactive Limited acquires Inzen Studio,Inzen Studio,iCandy Interactive Limited,09/19/2016,
SweetIQ Analytics acquires Connectivity,Connectivity,SweetIQ Analytics,09/15/2016,
Carousell acquires Watch Over Me,Watch Over Me,Carousell,08/31/2016,
MosChip Semiconductor acquires Orange Semiconductors,Orange Semiconductors,MosChip Semiconductor,09/12/2016,
Falcon Minerals acquires Robo 3D,Robo 3D,Falcon Minerals,09/09/2016,
Citrix Systems acquires Norskale,Norskale,Citrix Systems,09/08/2016,
FullContact acquires Profoundis Labs,Profoundis Labs,FullContact,08/23/2016,
FemaleDaily Network acquires J-Tech,J-Tech,FemaleDaily Network,09/06/2016,
Shopify acquires Boltmade,Boltmade,Shopify,10/03/2016,
Xeeva acquires Kontextual,Kontextual,Xeeva,12/11/2014,
SMA Alliance acquires WindStax Wind Power Systems,WindStax Wind Power Systems,SMA Alliance,09/26/2016,
NEXTracker acquires BrightBox Technologies,BrightBox Technologies,NEXTracker,08/30/2016,
Appsbuyout acquires True Contact,True Contact,Appsbuyout,08/31/2016,
Edgewater Technology acquires Branchbird,Branchbird,Edgewater Technology,08/08/2015,"$2,400,000"
Xpel Technologies Corp. acquires Connectin Europe BV,Connectin Europe BV,Xpel Technologies Corp.,08/29/2016,
Everfest.com acquires Fest300,Fest300,Everfest.com,09/20/2016,
Nutanix acquires Calm.io,Calm.io,Nutanix,08/29/2016,
zipMoney Payments acquires Pocketbook,Pocketbook,zipMoney Payments,06/06/2016,"$7,500,000"
1C Company acquires Quick Resto,Quick Resto,1C Company,09/12/2016,
eviCore healthcare acquires QPID Health,QPID Health,eviCore healthcare,02/29/2016,
Unbound Commerce acquires Apptive,Apptive,Unbound Commerce,10/19/2015,
Performant Solutions acquires Talent Bridge,Talent Bridge,Performant Solutions,08/25/2016,
Just Eat acquires tok tok tok,tok tok tok,Just Eat,09/06/2016,
Mitula Group acquires Dot Property,Dot Property,Mitula Group,09/05/2016,"$11,000,000"
Scintilla Pharmaceuticals acquires Semnur Pharmaceuticals,Semnur Pharmaceuticals,Scintilla Pharmaceuticals,08/15/2016,
Cardinal Health acquires TelePharm,TelePharm,Cardinal Health,09/01/2016,
SonderMind acquires Uvize,Uvize,SonderMind,08/19/2016,
FullContact acquires Conspire,Conspire,FullContact,08/17/2016,
Project: Worldwide acquires Praytell,Praytell,Project: Worldwide,08/16/2016,
Apple acquires Gliimpse,Gliimpse,Apple,08/22/2016,"$200,000,000"
Mapbox acquires Human,Human,Mapbox,08/18/2016,
General Assembly acquires Bitmaker Labs,Bitmaker Labs,General Assembly,08/10/2016,
Kwan Entertainment & Marketing Solutions acquires Gigstart,Gigstart,Kwan Entertainment & Marketing Solutions,08/11/2016,
Give Lively acquires tinyGive,tinyGive,Give Lively,08/11/2016,
Victory Square Labs acquires Pro Draft League,Pro Draft League,Victory Square Labs,08/15/2016,
Time To Know acquires ForClass,ForClass,Time To Know,08/15/2016,
Ford Motor Company acquires SAIPS,SAIPS,Ford Motor Company,08/16/2016,
PPD acquires Evidera,Evidera,PPD,08/09/2016,
Breezeworks acquires Prompt.ly,Prompt.ly,Breezeworks,08/11/2016,
Scintilla Pharmaceuticals acquires Scilex Pharmaceuticals,Scilex Pharmaceuticals,Scintilla Pharmaceuticals,08/08/2016,
"Box acquires Subspace, Inc.","Subspace, Inc.",Box,03/03/2015,
General Motors acquires Cruise,Cruise,General Motors,03/11/2016,"$1,000,000,000"
Barta Media Group acquires Blue Key Interactive,Blue Key Interactive,Barta Media Group,03/11/2016,
Knowlarity Communications acquires Smartwards Services,Smartwards Services,Knowlarity Communications,05/09/2016,
Aurionpro acquires Spikes Security,Spikes Security,Aurionpro,05/09/2016,
Facebook acquires Oculus,Oculus,Facebook,03/25/2014,"$2,000,000,000"
Microsoft acquires Aorato,Aorato,Microsoft,11/13/2014,"$200,000,000"
Samsung Electronics acquires LoopPay,LoopPay,Samsung Electronics,02/18/2015,
1776 acquires Disruption Corporation,Disruption Corporation,1776,04/16/2015,
Red Hat acquires Ansible,Ansible,Red Hat,10/16/2015,"$150,000,000"
Cisco acquires Synata,Synata,Cisco,03/08/2016,
Citius Pharmaceuticals acquires Leonard-Meron Biosciences,Leonard-Meron Biosciences,Citius Pharmaceuticals,04/04/2016,
XING acquires Buddy Broker,Buddy Broker,XING,04/14/2016,"€7,350,000"
"Lion - Beer, Spirits & Wine NZ acquires Panhead Custom Ales",Panhead Custom Ales,"Lion - Beer, Spirits & Wine NZ",05/27/2016,
Spaceflight Industries acquires OpenWhere,OpenWhere,Spaceflight Industries,06/21/2016,
Move Publishing acquires NewCom Regie,NewCom Regie,Move Publishing,06/16/2016,
Doodle acquires Meekan,Meekan,Doodle,06/30/2016,
LeadPages acquires Drip,Drip,LeadPages,07/07/2016,
Blackbaud acquires Attentive.ly,Attentive.ly,Blackbaud,07/12/2016,
Valero Energy acquires Parkway Pipeline,Parkway Pipeline,Valero Energy,07/12/2016,
Digital Bridge Holdings acquires DataBank,DataBank,Digital Bridge Holdings,07/13/2016,
GetLinks acquires LetsCatchup,LetsCatchup,GetLinks,07/18/2016,
SOCAN acquires Audiam,Audiam,SOCAN,07/21/2016,
Hargett Hunter Capital Partners acquires Original ChopShop Co,Original ChopShop Co,Hargett Hunter Capital Partners,07/25/2016,
Pepperjam Network acquires AdAssured,AdAssured,Pepperjam Network,07/27/2016,
